id,zipcode,lat,long,price,price_median,grade,condition,status
7129300520,98178,47.5112,-122.257,221900.0,278277.0,7,3,buy
9558200025,98148,47.4374,-122.335,265000.0,278000.0,7,4,buy
9558800025,98148,47.4353,-122.335,225000.0,278000.0,7,3,buy
6121000110,98148,47.4327,-122.328,193000.0,278000.0,7,3,buy
3223049131,98148,47.4416,-122.332,270000.0,278000.0,7,3,buy
6123600100,98148,47.425,-122.331,191000.0,278000.0,7,3,buy
5071700020,98148,47.4425,-122.333,240000.0,278000.0,7,3,buy
2923049421,98148,47.4562,-122.33,250000.0,278000.0,8,3,buy
3223049158,98148,47.4402,-122.333,222200.0,278000.0,7,3,buy
6123600090,98148,47.425,-122.332,251200.0,278000.0,7,3,buy
7957600075,98148,47.4303,-122.334,202500.0,278000.0,7,3,buy
5071500140,98148,47.4345,-122.326,221000.0,278000.0,7,3,buy
5245600120,98148,47.4256,-122.322,257500.0,278000.0,7,3,buy
6123000225,98148,47.4294,-122.331,260000.0,278000.0,7,3,buy
6121800050,98148,47.4263,-122.331,195000.0,278000.0,7,3,buy
7957600025,98148,47.4307,-122.334,245000.0,278000.0,7,4,buy
3123049131,98148,47.4358,-122.336,244000.0,278000.0,7,4,buy
522049122,98148,47.4297,-122.325,195000.0,278000.0,7,3,buy
6123000090,98148,47.4282,-122.331,267000.0,278000.0,7,4,buy
1025049114,98105,47.6647,-122.284,625504.0,675000.0,8,3,buy
3179100435,98105,47.6694,-122.275,641000.0,675000.0,8,3,buy
5245400030,98148,47.4258,-122.327,255000.0,278000.0,7,3,buy
2436701180,98105,47.667,-122.289,671500.0,675000.0,7,5,buy
6121800060,98148,47.4267,-122.331,260000.0,278000.0,7,3,buy
1222029064,98070,47.4104,-122.486,420000.0,463750.0,7,3,buy
221029019,98070,47.3338,-122.511,400000.0,463750.0,7,3,buy
8886000021,98070,47.4137,-122.439,445000.0,463750.0,8,3,buy
522039103,98070,47.4222,-122.443,310000.0,463750.0,7,4,buy
3523029077,98070,47.4443,-122.509,297000.0,463750.0,7,4,buy
8887001600,98070,47.5013,-122.463,280000.0,463750.0,7,4,buy
7558800570,98070,47.3579,-122.446,367000.0,463750.0,7,4,buy
6683000295,98070,47.5069,-122.472,350000.0,463750.0,7,3,buy
1422029117,98070,47.3944,-122.506,319000.0,463750.0,7,4,buy
2623029078,98070,47.4558,-122.507,437000.0,463750.0,7,3,buy
5245600105,98148,47.4258,-122.322,228000.0,278000.0,7,3,buy
792500260,98070,47.3604,-122.457,430000.0,463750.0,7,4,buy
2817100910,98070,47.3731,-122.43,385000.0,463750.0,8,3,buy
2817100040,98070,47.3726,-122.433,355000.0,463750.0,7,4,buy
8887001215,98070,47.5051,-122.461,407185.0,463750.0,8,4,buy
2622029073,98070,47.3668,-122.505,437500.0,463750.0,8,3,buy
3874400380,98070,47.3948,-122.435,445000.0,463750.0,8,4,buy
2122039137,98070,47.3758,-122.425,462500.0,463750.0,7,4,buy
1535204365,98070,47.4193,-122.444,428000.0,463750.0,7,5,buy
3223039149,98070,47.4375,-122.446,395000.0,463750.0,8,4,buy
3123039042,98070,47.4471,-122.464,383000.0,463750.0,7,4,buy
8887001625,98070,47.501,-122.463,417000.0,463750.0,8,3,buy
3223039089,98070,47.4397,-122.46,275000.0,463750.0,7,3,buy
9550204515,98105,47.6663,-122.326,542000.0,675000.0,7,3,buy
8818900060,98105,47.6645,-122.325,664000.0,675000.0,7,4,buy
2436700655,98105,47.6668,-122.285,515000.0,675000.0,8,3,buy
9822700285,98105,47.6597,-122.29,657500.0,675000.0,7,3,buy
7731100066,98105,47.6708,-122.297,545000.0,675000.0,7,3,buy
8827900690,98105,47.67,-122.295,600000.0,675000.0,7,4,buy
9191200015,98105,47.6719,-122.301,613200.0,675000.0,7,4,buy
2436700315,98105,47.6665,-122.287,441500.0,675000.0,7,5,buy
3589500315,98105,47.67,-122.317,526000.0,675000.0,8,3,buy
3179100720,98105,47.6716,-122.279,602000.0,675000.0,7,4,buy
714000315,98105,47.6693,-122.267,515000.0,675000.0,7,3,buy
9822700255,98105,47.6604,-122.29,670000.0,675000.0,9,3,buy
9550202730,98105,47.6684,-122.323,509250.0,675000.0,7,3,buy
3179100482,98105,47.6692,-122.279,450000.0,675000.0,8,3,buy
3856904610,98105,47.6696,-122.324,485000.0,675000.0,7,3,buy
3856901880,98105,47.6711,-122.328,514000.0,675000.0,7,4,buy
2862100260,98105,47.6681,-122.32,540000.0,675000.0,7,4,buy
3856905185,98105,47.6689,-122.326,483000.0,675000.0,7,3,buy
1797501275,98105,47.6711,-122.315,665000.0,675000.0,7,4,buy
8819900270,98105,47.6687,-122.288,440000.0,675000.0,7,3,buy
1928300350,98105,47.6714,-122.32,570000.0,675000.0,7,5,buy
8827900560,98105,47.6717,-122.295,655000.0,675000.0,7,5,buy
714000195,98105,47.6696,-122.267,510000.0,675000.0,7,3,buy
2218000335,98105,47.6681,-122.305,530000.0,675000.0,7,3,buy
4206901155,98105,47.6561,-122.325,575000.0,675000.0,8,3,buy
6338000014,98105,47.6714,-122.28,625000.0,675000.0,7,4,buy
3856902996,98105,47.6707,-122.328,553500.0,675000.0,7,3,buy
8816400885,98105,47.6684,-122.314,450000.0,675000.0,7,4,buy
2218000390,98105,47.6685,-122.305,580000.0,675000.0,7,3,buy
8813400245,98105,47.6621,-122.288,635000.0,675000.0,8,4,buy
9191201790,98105,47.6668,-122.299,556000.0,675000.0,7,4,buy
8818400490,98105,47.6645,-122.326,527000.0,675000.0,7,3,buy
3179101050,98105,47.6709,-122.276,672324.0,675000.0,8,3,buy
9550202870,98105,47.6677,-122.324,417000.0,675000.0,7,4,buy
